X,Y,OBJECTID,GIS_ID,GIS_FeatureKey,ShortName,Address,SchoolsType,SchoolBoards,SchoolTypes,LastEditDate,BeforeAndAfterSchoolProgram,ChildCareCentre
486963.2896,4759676,2573,47,John P. Robarts Public School,John P. Robarts,84 Bow St,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
477312.2279,4757437,2574,48,Kensal Park - French Immersion - Public School,Kensal Park,328 Springbank Dr,Public Elementary,Thames Valley District School Board,Elementary - French Immersion,2015/06/15 00:00:00+00,Y,Y
481269.875,4761645,2575,49,Knollwood Park Public School,Knollwood Park,70 Gammage St,Public Elementary,Thames Valley District School Board,Elementary,2022/09/06 00:00:00+00,Y,Y
481692.2176,4762355,2576,50,Lord Elgin Public School,Lord Elgin,1100 Victoria Dr,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,
486367.9899,4760720,2577,51,Lord Nelson Public School,Lord Nelson,1990 Royal Cres,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
480444.7671,4759871,2578,52,Lord Roberts - French Immersion - Public School,Lord Roberts,440 Princess Ave,Public Elementary,Thames Valley District School Board,Elementary - French Immersion,2015/06/15 00:00:00+00,Y,Y
476810.6807,4763692,2579,54,Masonville Public School,Masonville,25 Hillview Blvd,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
480120.0736,4756307,2580,55,Mountsfield Public School,Mountsfield,8 Mountsfield Dr,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
482245.3578,4754068,2581,56,Nicholas Wilson Public School,Nicholas Wilson,927 Osgoode Dr,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,,Y
480385.3658,4762641,2582,57,Northbrae Public School,Northbrae,335 Belfield St,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
480872.4216,4764922,2583,58,Northridge Public School,Northridge,25 Mclean Dr,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
476208.2883,4760945,2584,59,Orchard Park Public School,Orchard Park,50 Wychwood Pk,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
477544.2366,4759479,2585,60,Eagle Heights Public School,Eagle Heights,284 Oxford St W,Public Elementary,Thames Valley District School Board,Elementary,2016/06/09 00:00:00+00,Y,Y
484653.7651,4760060,2586,61,Prince Charles Public School,Prince Charles,1601 Wavell St,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
485297.3287,4759911,2587,62,Princess Anne - French - Immersion - Public School,Princess Anne,191 Dawn Dr,Public Elementary,Thames Valley District School Board,Elementary - French Immersion,2015/06/15 00:00:00+00,Y,Y
481973.3775,4757272,2588,63,Princess Elizabeth - French Immersion - Public School,Princess Elizabeth,247 Thompson Rd,Public Elementary,Thames Valley District School Board,Elementary - French Immersion,2016/06/09 00:00:00+00,Y,Y
480993.9041,4753872,2589,64,Rick Hansen Public School,Rick Hansen,70 Ponderosa Cres,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
475152.6756,4757964,2590,65,Riverside Public School,Riverside,550 Pinetree Dr,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
479488.739,4761381,2591,66,Old North Public School,Old North,940 Waterloo St,Public Elementary,Thames Valley District School Board,Elementary,2022/09/06 00:00:00+00,Y,Y
480878.0183,4755695,2592,68,Sir Georges-Étienne Cartier Public School,Sir G.E. Cartier,695 Chiddington Ave,Public Elementary,Thames Valley District School Board,Elementary,2016/06/09 00:00:00+00,Y,Y
478611.615,4754620,2593,69,Sir Isaac Brock Public School,Sir Isaac Brock,80 St Lawrence Blvd,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
482206.4818,4762093,2594,70,Sir John A. MacDonald Public School,Sir John A. MacDonald,1150 Landor St,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
479772.7447,4760644,2595,71,St. George's Public School,St. George,782 Waterloo St,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
478695.4257,4764020,2596,72,Stoneybrook Public School,Stoneybrook,1460 Stoneybrook Cres,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
480294.0745,4757418,2597,73,Tecumseh Public School,Tecumseh,401 Tecumseh Ave E,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
482616.0882,4758568,2598,74,Trafalgar Public School,Trafalgar,919 Trafalgar St,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
485387.5271,4758702,2599,75,Tweedsmuir Public School,Tweedsmuir,349 Tweedsmuir Ave,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
477265.93,4760617,2600,76,University Heights Public School,University Heights,27 Ford Cres,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
478684.974,4757891,2601,77,Victoria Public School,Victoria,130 Wharncliffe Rd S,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
476844.6342,4755260,2602,78,W. Sherwood Fox Public School,W. Sherwood Fox,660 Steeplechase Dr,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
474422.7512,4757748,2603,79,West Oaks- French Immersion- Public School,Westdale,1050 Plantation Rd,Public Elementary,Thames Valley District School Board,Elementary - French Immersion,2016/06/09 00:00:00+00,Y,Y
483749.9246,4749938,2604,80,Westminster Central Public School,Westminster Central,2835 Westminster Dr,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,,
476123.699,4754717,2605,81,Westmount Public School,Westmount,1011 Viscount Rd,Public Elementary,Thames Valley District School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
